Longitude,Latitude
148.8,-20.3
148.8,-20.3
148.4469,-20.74844
148.4469,-20.74844
148.4469,-20.74844
148.4469,-20.74844
148.4469,-20.74844
148.4469,-20.74844
148.4469034,-20.74844408
148.4469034,-20.74844408
148.4485734,-20.74942807
148.4485734,-20.74942807
148.4485734,-20.74942807
148.44857,-20.74943
148.44857,-20.74943
148.44857,-20.74943
148.44857,-20.74943
148.44857,-20.74943
148.4595231,-21.085635
148.4595231,-21.085635
148.45953,-21.08564
148.45953,-21.08564
148.45952,-21.08564
148.45952,-21.08564
148.45952,-21.08564
149.0572,-21.1785
149.0572,-21.1785
149.05722,-21.17861
149.05722,-21.17861
148.48957,-21.2028
148.48957,-21.2028
148.48957,-21.2028
148.4895682,-21.20280448
148.4895682,-21.20280448
148.48958,-21.20281
148.48958,-21.20281
148.6953599,-21.21407925
148.6953599,-21.21407925
148.6953599,-21.21407925
148.69536,-21.21408
148.69536,-21.21408
148.69536,-21.21408
148.69536,-21.21408
148.69536,-21.21408
150.2593569,-22.42283368
150.1983333,-22.43166666
150.1983333,-22.43166666
150.19833,-22.43167
150.19833,-22.43167
150.19833,-22.43167
150.19833,-22.43167
150.19833,-22.43167
150.1917,-22.4325
149.38444,-22.565
150.3023872,-22.57508376
149.41666,-22.58333
150.7127547,-22.65855863
150.6613444,-22.66648356
150.6542014,-22.66833824
150.52639,-22.72167
150.52639,-22.72167
150.6669612,-22.73862189
150.543855,-22.76967377
150.75107,-22.79203
150.75107,-22.79203
150.602103,-22.79684073
150.526444,-22.79853736
150.3000104,-22.88052452
150.71666,-22.88333
143.45951,-23.12346
143.45951,-23.12346
143.45951,-23.12346
143.45951,-23.12346
143.4595058,-23.1234643
150.33441,-23.14009
150.7927777,-23.21916666
150.7927777,-23.21916666
150.79278,-23.21917
150.79278,-23.21917
150.79278,-23.21917
150.79278,-23.21917
150.79278,-23.21917
150.7927416,-23.21925629
150.7927416,-23.21925629
150.79274,-23.21926
150.79274,-23.21926
150.79274,-23.21926
150.79274,-23.21926
150.79274,-23.21926
150.79278,-23.22333
150.79278,-23.22333
150.66778,-23.25667
150.66778,-23.25667
150.13442,-23.29842
150.13442,-23.29842
