Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.7522E-4,14.512927543,0.521500011,0.104713037,0.101978691,0
1.79259E-4,14.760843933,0.529561072,0.10418092,0.102739726,0
1.85364E-4,15.015980737,0.5414885,0.103648803,0.102739726,0
1.90481E-4,15.260941881,0.551252836,0.103154694,0.103120244,0
1.98802E-4,15.514866352,0.566688797,0.102660585,0.103120244,0
2.03016E-4,15.756049441,0.574303758,0.102204485,0.104642314,0
2.04041E-4,17.633157582,0.576133867,0.098669707,0.105022831,0
2.08554E-4,17.756973663,0.584105448,0.098479666,0.139649924,0
2.1275E-4,18.010434226,0.591382672,0.098023565,0.139649924,0
2.19481E-4,18.270627756,0.602790331,0.097567465,0.140030441,0
2.2231E-4,18.513421364,0.607489545,0.097149373,0.140791476,0
2.23393E-4,19.916105898,0.60927286,0.094754846,0.164383562,0
2.25086E-4,20.005910133,0.61204628,0.094602813,0.164383562,0
2.28356E-4,20.255097223,0.61734621,0.094184721,0.165144597,0
2.32689E-4,20.508664248,0.624257324,0.093766629,0.165905632,0
2.34338E-4,20.765984284,0.626855538,0.093310528,0.165905632,0
2.37393E-4,21.001973533,0.63161969,0.092968453,0.169330289,0
2.45425E-4,22.249295439,0.643859632,0.091030027,0.186073059,0
2.4582E-4,22.273877446,0.644450615,0.090992018,0.186073059,0
2.45824E-4,22.716353966,0.644456527,0.090307868,0.192922374,0
2.4598E-4,23.355511998,0.644689385,0.08931965,0.20281583,0
2.474E-4,23.503598254,0.646806134,0.0890916,0.203196347,0
2.48023E-4,28.50232813,0.647730335,0.081413911,0.279680365,0
2.50514E-4,28.751608459,0.651402386,0.081033827,0.281202435,0
2.54404E-4,29.003990821,0.657060764,0.080653744,0.28196347,0
2.55811E-4,29.28501582,0.659083965,0.080197643,0.28196347,0
2.58016E-4,29.516424583,0.662231252,0.079893577,0.285768645,0
2.60685E-4,29.750040865,0.666003378,0.079551501,0.28652968,0
2.63966E-4,30.012077063,0.67058164,0.079171418,0.28652968,0
2.65473E-4,30.276371489,0.672662452,0.078791334,0.28957382,0
2.69775E-4,30.571826072,0.678532947,0.078373242,0.29261796,0
2.74143E-4,30.762724657,0.684387188,0.078107184,0.29261796,0
2.76003E-4,31.010527107,0.68684646,0.077765108,0.2956621,0
2.79416E-4,31.261084707,0.691309928,0.077423033,0.2956621,0
2.81033E-4,31.625370119,0.693403706,0.076928924,0.298325723,0
2.82371E-4,31.766364078,0.695124316,0.076738883,0.298325723,0
2.83909E-4,32.049824465,0.697090181,0.076358799,0.299467275,0
2.86671E-4,32.278185884,0.70058948,0.076054732,0.299847793,0
2.87729E-4,32.508118964,0.701918741,0.075750665,0.301369863,0
2.87905E-4,33.515187824,0.702138893,0.074420372,0.314687976,0
2.90406E-4,33.804405764,0.705256847,0.074040289,0.317351598,0
2.92799E-4,34.008842642,0.708208518,0.07377423,0.317732116,0
2.97208E-4,34.392119696,0.713571238,0.073280122,0.320776256,0
2.97503E-4,37.724135082,0.713926376,0.068985177,0.320776256,0
2.97655E-4,37.753900551,0.714108752,0.068985177,0.362633181,0
3.0063E-4,38.384191339,0.717665219,0.068187001,0.368721461,0
3.01611E-4,38.504675738,0.718827409,0.068034968,0.369863014,0
3.02073E-4,38.776407491,0.719373226,0.067654884,0.371765601,0
3.02451E-4,39.350910752,0.719819492,0.066970734,0.379756469,0
3.02747E-4,39.53254779,0.720167385,0.066742683,0.382039574,0
3.03401E-4,39.774960101,0.720937024,0.066438616,0.384322679,0
3.04313E-4,40.200991356,0.722005521,0.065868491,0.385083714,0
3.05229E-4,40.261967089,0.723074366,0.065830483,0.390030441,0
3.05512E-4,40.597970604,0.723403526,0.065374382,0.391552511,0
3.05848E-4,41.087031888,0.72379452,0.064804257,0.399923896,0
3.06022E-4,41.270558008,0.72399632,0.064576207,0.402207002,0
3.06729E-4,41.791654846,0.72481618,0.063930065,0.408295282,0
3.0761E-4,42.222128096,0.725834695,0.063359939,0.409436834,0
3.07641E-4,42.25289221,0.725870268,0.063359939,0.412861492,0
3.08128E-4,43.146395552,0.726431429,0.062257697,0.423515982,0
3.08551E-4,43.393236427,0.726917596,0.061915621,0.423515982,0
