X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,1.6449375713580881E-4,14.149893913865075,0.4994139558281564
2.0,2.0,train,3.559439926153494E-4,88.03283396049363,0.7762776168358368
3.0,3.0,train,4.8686263218440407E-4,98.1935421417378,0.8710182955329774
4.0,4.0,train,1.0810490829267402E-4,9.7291287232134,0.3654028213454553
5.0,5.0,train,4.60222213171553E-5,5.573650819477932,0.17601392440065322
6.0,6.0,train,4.60222213171553E-5,5.573650819477932,0.17601392440065322
7.0,7.0,train,4.60222213171553E-5,5.573650819477932,0.17601392440065322
8.0,8.0,train,4.898682496690975E-4,98.28545690611296,0.8726388388154445
9.0,9.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
10.0,10.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
11.0,11.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
12.0,12.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
13.0,13.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
14.0,14.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
15.0,15.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
16.0,16.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
17.0,17.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
18.0,18.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
19.0,19.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
20.0,20.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
21.0,21.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
22.0,22.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
23.0,23.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
24.0,24.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
25.0,25.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
26.0,26.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
27.0,27.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
28.0,28.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
29.0,29.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
30.0,30.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
31.0,31.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
32.0,32.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
33.0,33.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
34.0,34.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
35.0,35.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
36.0,36.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
37.0,37.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
38.0,38.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
39.0,39.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
40.0,40.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
41.0,41.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
42.0,42.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
43.0,43.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
44.0,44.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
45.0,45.0,train,2.0404063359852543E-4,17.632486581813875,0.576133866911559
46.0,46.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
47.0,47.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
48.0,48.0,train,7.517079282533761E-5,7.9588102165390975,0.2711015988504947
49.0,49.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
50.0,50.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
51.0,51.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
52.0,52.0,train,4.580771283670504E-4,93.62865641352066,0.8544146477241005
53.0,53.0,train,4.580771283670504E-4,93.62865641352066,0.8544146477241005
